id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty
1,rdisc this program was developed by sun microsystems inc and is provided for unrestricted use provided that this legend is included on all tape media and as a part of the software program in whole or part,,,,,,,,,,,,
2,users may copy or modify rdisc without charge and they may freely distribute it,,,,,,,,,,,,
3,rdisc is provided as is with no warranties of any kind including the warranties of design merchantibility and fitness for a particular purpose or arising from a course of dealing usage or trade practice,,,,,,,,,,,,
4,rdisc is provided with no support and without any obligation on the part of sun microsystems inc to assist in its use correction modification or enhancement,,,,,,,,,,,,
5,sun microsystems inc shall have no liability with respect to the infringement of copyrights trade secrets or any patents by rdisc or any part thereof,,,,,,,,,,,,
